City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Columbus city, Indiana",189.1799574,6355.92107,6.5,8.1
"Columbus city, Mississippi",249.3954051,6476.723096,21,25.7
"Columbus city, Ohio",886.358968,8437.404408,10.8,14.8
"Compton city, California",1606.954689,3596.417281,25.5,28
"Concord city, California",391.7825275,3716.123677,5.2,7.6
"Concord city, New Hampshire",0,0,6.2,8
"Concord city, North Carolina",0,0,5.8,8.2
"Conroe city, Texas",766.1783424,5687.688737,15,19.3
"Conway city, Arkansas",180.0180018,4819.981998,9.3,16.3
"Cookeville city, Tennessee",495.397242,4761.728715,13.1,23.2
"Coon Rapids city, Minnesota",183.5058798,3613.536617,3.6,4.8
"Cooper City city, Florida",157.4699823,1702.644183,2.9,3.2
"Coppell city, Texas",31.39323162,517.9883217,1.4,1.9
"Copperas Cove city, Texas",452.1523692,3168.163518,8.1,9.6
"Coral Gables city, Florida",519.023434,6038.937895,4.3,6.9
"Coral Springs city, Florida",249.1227785,2995.172229,6.3,8
"Corona city, California",266.7430348,2688.704333,6,8.3
"Corpus Christi city, Texas",717.7310965,6107.877986,14.1,17.6
"Corvallis city, Oregon",143.1406978,4183.52546,9.7,20.6
"Costa Mesa city, California",259.0893246,3002.609736,8.2,12.6
"Cottage Grove city, Minnesota",106.4671169,2333.150818,1.8,2.2
"Council Bluffs city, Iowa",839.2731997,9052.527221,8.2,10.3
"Covina city, California",589.712788,4189.144916,8.9,11.6
"Covington city, Kentucky",0,0,15.5,18.4
"Cranston city, Rhode Island",178.9269424,2615.861495,5.6,7.3
"Culver City city, California",399.8342151,3461.979179,5.5,8.6
"Cupertino city, California",221.989797,2262.588316,3.7,4.8
"Cuyahoga Falls city, Ohio",152.0455429,2857.04183,4.5,6.1
"Cypress city, California",218.672174,1830.367086,4.6,6
"Dallas city, Texas",1432.858751,7950.124154,14.9,17.8
"Dalton city, Georgia",629.0054593,7449.165282,11.9,16
"Daly City city, California",323.5320228,1775.480613,4.2,7.1
"Dana Point city, California",195.2019916,1804.911169,3.4,6.7
"Danbury city, Connecticut",191.405463,2806.320698,5.9,8
"Dania Beach city, Florida",0,0,14.6,18.3
"Danville city, Virginia",0,0,15.9,20
"Danville town, California",109.463865,1258.834448,1.3,2.2
